# DONNEES ENTIEREMENT SIMULEES - generees a des fins pedagogiques (Master 1 Sciences de la Mer, Sorbonne Universite). Aucune valeur ne provient d'une mesure reelle. Les toponymes cites ne servent qu'a fixer une emprise geographique et un systeme de coordonnees plausibles.
id;secteur;saison;espece_dominante;effort_km;etat_mer_beaufort;profondeur_m;distance_cote_km;sst_c;chlorophylle_mgm3;nb_groupes_observes;taille_groupe_moyenne;presence;lon;lat
CET_0001;Canyon;Ete;Aucune;5.9;3;359;103.5;13.87;0.124;0;NA;0;-6.04321;47.86036
CET_0002;Talus;Ete;Aucune;16;4;546;116.3;13.6;0.08;0;NA;0;-6.06716;47.56678
CET_0003;Canyon;Automne;Cachalot;6.7;3;447;97.1;12.95;0.283;2;2.3;1;-2.4769;44.58569
CET_0004;Canyon;Automne;Aucune;36.7;3;443;116;11.54;0.095;0;NA;0;-5.84505;47.35168
CET_0005;Canyon;Ete;Dauphin commun;32.9;4;853;125.4;15.69;0.209;5;5.1;1;-2.96964;44.58033
CET_0006;Talus;Printemps;Aucune;8.9;2;830;139.1;11.42;0.128;0;NA;0;-3.05845;45.54915
CET_0007;Talus;Automne;Cachalot;37.2;4;1965;195;10.5;0.646;1;1.4;1;-8.98075;49.75649
CET_0008;Plaine abyssale;Printemps;Dauphin commun;33.3;3;3289;252.9;10.84;0.08;1;12.1;1;-7.70092;47.03468
CET_0009;Plaine abyssale;Ete;Globicephale;34.8;2;2805;255.3;14.93;0.08;1;7.7;1;-8.20563;48.25448
CET_0010;Plaine abyssale;Hiver;Aucune;16;4;3015;223.9;10.5;0.206;0;NA;0;-8.55383;49.34029
CET_0011;Canyon;Ete;Aucune;7.7;2;204;70.8;15.79;0.251;0;NA;0;-2.97652;44.08705
CET_0012;Talus;Printemps;Rorqual commun;23.6;4;1113;154.6;11.26;0.094;3;3.1;1;-6.40223;47.27395
CET_0013;Plateau;Hiver;Rorqual commun;27.6;2;160;53.8;10.5;1.132;1;2.1;1;-3.04959;43.92131
CET_0014;Plaine abyssale;Ete;Globicephale;25.2;2;4338;251.9;14.35;0.1;5;2.5;1;-8.555;48.82094
CET_0015;Canyon;Printemps;Cachalot;36.4;3;382;94.6;11.53;0.08;1;1;1;-5.00463;47.11221
CET_0016;Plateau;Printemps;Aucune;17.4;4;194;55.5;11.08;0.136;0;NA;0;-2.47652;46.3434
CET_0017;Canyon;Ete;Aucune;16.7;3;514;101.3;14.88;0.131;0;NA;0;-2.46425;45.31885
CET_0018;Canyon;Printemps;Aucune;27.7;4;653;116.5;12.83;0.272;0;NA;0;-2.71801;44.6555
CET_0019;Canyon;Printemps;Globicephale;29.9;5;246;78.3;12.28;0.285;2;5.3;1;-2.24818;44.51965
CET_0020;Talus;Hiver;Globicephale;17.6;2;1617;170.3;10.5;0.101;2;7.2;1;-6.55218;47.17259
CET_0021;Canyon;Printemps;Rorqual commun;23.2;3;792;138.1;10.88;0.136;1;3.7;1;-3.09655;45.66377
CET_0022;Plateau;Ete;Rorqual commun;34.9;5;187;65.4;15.24;0.684;1;1;1;-3.35214;44.0858
CET_0023;Plateau;Automne;Rorqual commun;38.3;3;168;63.2;12.06;0.508;2;1;1;-2.22371;43.91209
CET_0024;Canyon;Hiver;Aucune;12.6;2;374;93.6;10.5;0.12;0;NA;0;-5.91595;47.89153
CET_0025;Plateau;Printemps;Dauphin commun;28.8;2;104;17.1;11.46;0.095;1;8.3;1;-1.59275;43.92625
CET_0026;Canyon;Automne;Dauphin commun;24.1;4;866;160.2;12.51;0.088;2;11.7;1;-3.24852;45.02126
CET_0027;Plaine abyssale;Ete;Aucune;23.5;2;2091;202.2;14.07;0.459;0;NA;0;-7.98724;49.06783
CET_0028;Plateau;Ete;Rorqual commun;36.7;2;146;47.4;16.14;0.271;7;2.5;1;-2.08644;43.78424
CET_0029;Canyon;Ete;Aucune;7.6;3;1474;161.1;16.49;0.08;0;NA;0;-3.27845;44.94963
CET_0030;Canyon;Ete;Globicephale;27.8;4;451;89.8;16.16;0.106;3;8.9;1;-2.46216;44.21609
CET_0031;Talus;Printemps;Aucune;15.7;3;1716;178.7;11.43;0.08;0;NA;0;-7.14053;48.16616
CET_0032;Talus;Printemps;Aucune;39.2;4;1518;173.1;10.5;0.08;0;NA;0;-6.83694;47.4755
CET_0033;Plateau;Automne;Dauphin commun;9.6;2;114;22.5;11.51;0.209;2;3.4;1;-1.73807;46.25875
CET_0034;Canyon;Hiver;Aucune;13.6;2;258;78.7;10.5;1.125;0;NA;0;-3.11074;44.15357
CET_0035;Talus;Ete;Aucune;11.5;5;254;84.4;14.35;0.104;0;NA;0;-2.89824;46.3151
CET_0036;Talus;Hiver;Aucune;13.9;3;645;129.3;10.5;0.08;0;NA;0;-6.43897;48.11786
CET_0037;Plateau;Ete;Aucune;18.7;2;119;34.2;15.4;0.165;0;NA;0;-1.77059;44.06355
CET_0038;Plateau;Automne;Dauphin commun;38.1;2;169;54.2;11.84;0.152;1;20.8;1;-2.75843;46.69238
CET_0039;Plateau;Printemps;Aucune;16;4;84;12.5;11.05;0.125;0;NA;0;-1.32723;45.26725
CET_0040;Plaine abyssale;Automne;Dauphin commun;21.3;4;2848;232.6;10.89;0.617;1;13.9;1;-8.6943;49.35943
CET_0041;Plateau;Hiver;Aucune;33.3;4;138;50.1;10.5;0.146;0;NA;0;-5.32735;47.91789
CET_0042;Canyon;Automne;Rorqual commun;5.9;2;456;98.6;11.93;1.209;1;1;1;-2.84481;44.34048
CET_0043;Talus;Hiver;Aucune;12.9;2;350;92.7;10.5;0.349;0;NA;0;-2.34548;45.35293
